okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Giraltovce,Kurima,obecný,"1 čs.
3 poľ.
1 rak.
1 juh.
16 neznámi
","padli v boji pri obci
","1914
",-,-,49.231707 21.465147
Giraltovce,Lascov,obecný,"1 juh.
6 neznámi
","zranenie
","1914
",7,7,49.160846 21.481286
Giraltovce,Marhaň,obecný,"3 neznámi
",-,-,3,3,49.175987 21.458669
Giraltovce,Poliakovce,obecný,"neznámi
","padli
",-,3,3,49.253384 21.398551
Giraltovce,Okruhlé,obecný,"neznámi
",-,-,10,10,49.186406 21.54019
Giraltovce,Pušovce,obecný rímskokatolícky,"domáci
",-,-,1,1,49.092187 21.424238
Giraltovce,Sobož,obecný gréckokatolícky,"2 rum.
5 neznámi
","zastrelení
","1915
",1,5,49.14625 21.54873
Giraltovce,Šapinec,obecný,"1 poľ.
1 neznámy
","padli pri obci
","1915
",2,2,48.726023 21.491337
Giraltovce,Štavník,obecný,"19 neznámy
ruskí a uhor.
vojaci
",-,"1914
",13,1,49.21593 21.56878
Giraltovce,Štefurov,obecný,"neznámi
",-,-,4,4,49.187738 21.500028
Giraltovce,Valkovce,obecný,"čes.
",-,-,1,1,49.166637 21.523461
Giraltovce,Železník,obecný,"rus.
",-,-,1,1,48.631248 20.121861
Giraltovce,Gelnica,obecný,"1 dom.
1 tal.
3 maď.
1 poľ.
3 neznámi
","zranenie
3x cholera
",-,7,1,48.851944 20.933889
Giraltovce,Helcmanovce,obecný,"domáci
","zápal pľúc
","1917
",1,1,48.83723 20.853871
Giraltovce,Krompachy I,obecný rímskokatolícky nový,"2 čes.
1 juh.
1 tal.
1 maď.
1 poľ.
2 nez.
","v boji pri Krompachoch
","1919
",8,8,48.9116 20.87413
Giraltovce,Kluknava,obecný,"čs.
","zastrelený pri obci
",-,1,1,48.923885 20.962188
Giraltovce,Krompachy II,obecný rímskokatolícky starý,"neznámy
",-,-,1,1,48.9116 20.87413
Giraltovce,Krompachy III,židovský,"rus.
",-,-,1,1,48.9116 20.87413
Giraltovce,Malý Folkmar,katolícky,"domáci
","malária
týfus
",-,2,2,48.82869 21.06899
Giraltovce,Margecany,obecný,"domáci
neznámy
","španielska chrípka
",-,2,2,48.901338 21.01817
Giraltovce,Mníšek pod Hnilcom,obecný,"maď.
","usmrtený granátom
","1919
",1,1,48.80451 20.805
Giraltovce,Nižnie Slovinky,obecný,"1 čs.
3 tal.
1 rus.
",-,-,5,5,49.47036 18.7136
Giraltovce,Rychnava,obecný,"domáci
",-,-,1,1,48.670572 20.440736
Giraltovce,Smolnická Huta,spoločný,"6 domáci
1 neznámy
",-,-,7,7,48.759413 20.796945
Giraltovce,Smolník,obecný,"9 domáci
2 neznámi
",-,-,11,11,49.1 22.283333
Gelnica,Švedlár,obecný,"domáci
","pľúcna choroba
",-,2,2,48.805294 20.72695
Gelnica,Veľký Folkmar,obecný,"čes.
","zranenie do pŕs
","1919
",1,1,48.840324 21.030912
Gelnica,Žakarovce,obecný,"domáci
","pľúcny katar
",-,4,4,48.88094 20.928016
Kežmarok,Farkašovce,obecný,"1 domáci
2 rus.
","útrapy
zápal pľúc
špan. chr.
","1918
",1,1,49.059249 20.429976
Kežmarok,Huncovce,obecný evanjelický,"3 domáci
","zranenie
pľúcna
choroba
",-,3,3,49.128243 20.378242
Kežmarok,Javorina,obecný,"domáci
","zastrelený
",-,1,1,49.246775 20.148663
Kežmarok,Kežmarok,židovský,"1 domáci
3 neznámi
","španielska chrípka
",-,4,4,49.137222 20.429444
Kežmarok,Kežmarok,mestský,"7 čs.
1 tal.
4 maď.
4 poľ.
2 rak.
6 rum.
3 juh.
35 neznámi
","tuberkulóza
zranenie
týfus
samovražda
","1914
",56,56,49.137222 20.429444
Kežmarok,Ľubica,obecný,"5 čs
","zápal pľúc
zranenie
",-,5,5,48.4597 18.355275
Kežmarok,Spišská Belá,obecný,"5 čs.
2 neznámi
","samovražda
zastrelenie
španielska chrípka
zápal pľúc
",-,7,7,49.190005 20.455325
Kežmarok,Stará Lesná,obecný,"domáci
",-,-,5,5,49.135815 20.300945
Kežmarok,Veľká Lomnica,obecný,"5 domáci
1 rak.
","1 na útrapy v ruskom zajatí
",-,6,6,49.118014 20.344309
Kežmarok,Vrbov,obecný,"domáci
",-,-,1,1,49.087333 20.431895
Kežmarok,Žakovce,obecný,"1 poľ.
5 neznámi.
","cholera
",-,6,6,49.072163 20.387733
Kežmarok,Tvarožná,obecný,"domáci
",-,-,2,2,49.09201 20.499535
Ilava,Beluša,katolícky,"domáci
",-,-,6,6,49.045252 18.344841
Ilava,Ilava,obecný nový,"4 čs.
1 nem.
",-,-,5,5,48.998611 18.235
Ilava,Ilava,židovský,"domáci
",-,-,2,2,48.998611 18.235
Ilava,Ladce,obecný katolícky,"domáci
",-,-,5,5,49.026727 18.295993
Ilava,Pružina,obecný katolícky,"čs
",-,-,2,2,48.998165 18.470603
Ilava,Visolaje,obecný katolícky,"domáci
",-,-,1,1,49.071447 18.372938
Hlohovec,Bučany,katolícky,"domáci
",-,-,3,3,48.413708 17.689021
Hlohovec,Dolné Zelenice,obecný,"domáci
",-,-,1,1,48.380959 17.749446
Hlohovec,Hlohovec,obecný katolícky,"4 čs.
maď
1 neznámy
",-,-,6,6,48.416667 17.75
Hlohovec,Horné Zelenice,obecný evanjelický,"domáci
",-,-,2,2,48.392521 17.746637
Hlohovec,Lukáčovce,katolícky,"domáci
",-,-,1,1,48.398266 17.932758
Hlohovec,Madunice,obecný katolícky,"domáci
",-,-,1,1,48.482881 17.783003
Hlohovec,Mestečko,obecný katolícky,"2 čs.
1 rus.
1 lot.
5 maď
2 poľ.
1 juh.
2 rum.
1 neznámy
","padli pri postupe čs. vojska pri Leopoldove
",-,15,15,49.17345 18.265534
Hlohovec,Radkovce,obecný,"domáci
",-,-,1,1,48.770936 17.285749
Hlohovec,Siladice,katolícky,"neznámy
",-,-,1,1,48.361081 17.729619
Hlohovec,Trakovice,obecný katolícky,"domáci
",-,-,5,5,48.444878 17.723107
Hlohovec,Červeník,obecný,"domáci
",-,-,3,3,48.465253 17.766406
Hlohovec,Žlkovce,obecný,"domáci
",-,-,1,1,48.46267 17.713258
Kysucké N. Mesto,Dolný Vadičov,obecný,"domáci
",-,-,1,1,49.27451 18.855856
Kysucké N. Mesto,Horný Vadičov,obecný,"domáci
",-,-,5,5,49.27409 18.898706
Kysucké N. Mesto,Kysucké N. Mesto,obecný katolícky,"čes.
",-,-,1,1,49.30194 18.78663
Kysucké N. Mesto,Lutiše,obecný,"čs.
",-,-,5,5,49.295775 18.957303
Kysucké N. Mesto,Prostredný Vadičov,obecný,"domáci
",-,-,1,1,49.26178 18.85955
Kysucké N. Mesto,Radostka,obecný,"čs.
","čierne osýpky
","1917
",1,1,49.320417 18.944355
Kysucké N. Mesto,Rudinská,obecný,"domáci
",-,-,1,1,49.32887 18.70504
Kysucké N. Mesto,Snežnica,obecný,"domáci
",-,-,1,1,49.261557 18.793367
Kysucké N. Mesto,Stará Bystrica,obecný,"domáci
",-,-,3,3,49.362165 18.943222
Kysucké N. Mesto,Zádubnie,obecný,"domáci
",-,-,3,3,49.24027 18.76948
Humenné,Humenné,vojenský,"33 čs.
51 rus.
9 tal.
24 maď
22 poľ.
2 rak.
23 rum.
50 juh.
590 nezn.
",-,-,408,1248,48.933889 21.910833
Humenné,Jankovec,obecný katolícky,"3 maď
13 neznámi
","zastrelení
","1915
1915
",8,1,48.657156 22.206838
Humenné,Kamenica nad Cirochou,obecný,"112 neznámi
",-,"1914
",49,5,48.933574 22.009863
Humenné,Koškovce,vojenský,"115 neznámi
",-,"1915
",24,24,49.05607 21.942024
Humenné,Vyšný Hrušov,vojenský,"neznámi
",-,-,12,12,49.005845 22.010909
Komárno,Komárno,židovský,"18 čs.
2 rus.
9 maď
4 poľ.
5 nez.
1 rum.
2 juh.
",-,-,41,41,47.7625 18.131111
Komárno,Komárno,epidemický,"3 čs.
2 rus.
1 tal.
2 maď
3 poľ.
3 rak.
2 rum.
2 juh.
","epidémia v Komárne
","1917
",19,19,47.7625 18.131111
Komárno,Komárno,reformovaný,"23 čs.
43 maď
20 rum.
3 juh.
3 nez.
",-,-,92,92,47.7625 18.131111
Komárno,Komárno,evanjelický,"19 čs.
14 maď
1 rak.
5 rum.
1 juh.
1 rus.
",-,-,52,52,47.7625 18.131111
Komárno,Komárno,gréckokatolícky,"1 čs.
3 maď
8 poľ.
94 rum.
162 juh.
169 rus.
13 neznámi
",-,"1918
",450,450,47.7625 18.131111
Komárno,Komárno,rímskokatolícky,"298 čs.
55 tal.
174 maď.
1 nem.
72 poľ.
40 rak.
119 rum.
137 juh.
6 rus.
19 neznámi
",-,-,921,921,47.7625 18.131111
Komárno,Veľký Meder,zajatecký,"srbi
",-,-,5464,5464,47.855781 17.769367
Komárno,Veľký Meder,zajatecký,"179 tal.
13 rum.
5464 juh.
72 rus.
1 neznámy
",-,-,5729,2183,47.855781 17.769367
Komárno,Veľký Meder,židovský,"juh.
",-,-,2,2,47.855781 17.769367
Komárno,Čičov,-,"rus.
",-,-,2,2,47.785643 17.756443
Komárno,Gúta,katolícky,"1 čs. dom.
2 rus.
1 juh.
",-,-,4,4,47.918235 17.996659
Komárno,Horný Geller,obecný,"domáci
",-,-,1,1,48.15542 17.95846
Komárno,Kamoča,obecný,"5 čs. dom.
2 nez.
",-,-,7,7,47.94888 18.02244
Komárno,Keszeg Falva,obecný,"domáci
",-,-,7,7,47.848296 18.006716
Komárno,Mederč,obecný,"domáci
",-,-,1,1,47.85657 17.76943
Komárno,Zemianska Olča,obecný,"2 juh.
",-,-,2,2,47.838884 17.891807
Komárno,Zemné,rímskokatolícky,"domáci
",-,-,4,4,47.995024 18.011004
Komárno,Zlatná na Ostrove,katolícky reformovaný,"domáci
",-,-,4,4,47.77755 17.958172
Košice,Košice mesto,ústredný,"1406 čs.
152 tal.
1 litov.
1131 maď.
22 nem.
561 poľ.
419 rak.
1033 rum.
505 rus.
656 juh.
3 tur.
521 neznámi
",-,-,2627,6421,49.299918 18.786508
Košice,Herľany,obecný,"maď.
",-,-,1,1,48.799528 21.488704
Košice,Kalša,obecný,"1 maď.
2 neznámi
","zahynuli pri zrážke
vlakov
","1915
",3,3,48.610717 21.528616
Košice,Kostolany nad Hornádom,obecný,"čes.
","zastrelený pri bojoch
s maď. boľševikmi
","1919
",1,1,48.78764 21.234676
Košice,Košická Belá,obecný,"14 čs.
10 neznámi
","padli v boji s maď.
boľševikmi
","1919
",3,24,48.81287 21.096568
Košice,Košické Hamry,katolícky,"2 čs.
1 neznámi
","zabití v boji s maď.
boľševikmi
","1919
",3,3,48.73365 21.34568
Košice,Kralovce,obecný,"domáci
",-,-,1,1,48.804929 21.328364
Košice,Malá Lodina,obecný,"čs.
","zastrel. pri neopatrn.
","1919
",1,1,48.868917 21.09041
Košice,Malá Vieska,obecný,"čs.
",-,-,1,1,48.307725 18.404761
Košice,Nižnia Kamenica,obecný evanjelický,"domáci
",-,-,3,3,47.83162 18.72381
Košice,Nové Mesto,obecný katolícky,"domáci
",-,-,1,1,48.167162 17.138352
Košice,Nový Salaš,obecný katolícky,"domáci
",-,-,1,1,48.603249 21.493089
Košice,Ružín,obecný,"1 čes.
2 neznámi
","1 zahynul v boji
","1919
",1,1,49.179646 18.771028
Košice,Slanec,evanjelický,"2 neznámi
",-,-,1,2,48.634537 21.476802
Košice,Slanec,obecný,"juh.
",-,-,1,1,48.634537 21.476802
Košice,Svinica,obecný,"3 domáci
1 neznámy
",-,-,4,4,48.726023 21.491337
Košice,Tepličany,obecný,"domáci
",-,-,1,1,48.7954 21.2627
Košice,Trebejov,obecný,"1 čs.
",-,-,1,1,48.840645 21.231797
Košice,Tršťany,obecný,"1 neznámy
",-,-,1,1,48.761622 21.398669
Košice,Veľká Lodina,obecný,"čes.
","zabitý boľševikmi
","1919
",1,1,48.859779 21.159643
Košice,Bohdanovce,spoločný,"domáci
",-,-,3,3,48.654434 21.405173
Košice,Čaňa,obecný,"domáci
",-,-,3,3,48.6 21.333333
Košice,Ďurkov,katolícky,"domáci
",-,-,2,2,48.711961 21.443599
Košice,Geča,obecný,"domáci
",-,-,3,3,48.625273 21.314411
Košice,Gyňov,obecný,"domáci
",-,-,1,1,48.585656 21.309109
Košice,Haniska,obecný,"tal.
","zastrelený
",-,1,1,48.620469 21.253728
Košice,Krásna nad Hornádom,obecný,"juh
","zastrelený
",-,1,1,48.597765 18.315192
Košice,Migleč,obecný,"slov.
","zastrelený
","1919
",1,1,48.533417 21.27904
Košice,Myslava,obecný,"1 domáci
1 neznámy
",-,-,2,2,48.71054 21.20358
Košice,Nižnia Hutka,obecný,"domáci
","dokopaný od koní na
vojne
",-,1,1,48.72417 20.4161
Košice,Nižný Tejkeš,katolícky,"domáci
","zabitý stromom
",-,1,1,49.37513 21.69662
Košice,Nižnia Myšla,obecný,"2 domáci
1 rus.
1 nez.
",-,-,4,4,48.94857 19.7686
Košice,Polov,obecný,"domáci
",-,-,1,1,48.66775 21.18875
Košice,Skároš,katolícky obecný,"domáci
",-,-,1,1,48.596915 21.411813
Košice,Šaca,katolícky obecný,"domáci
",-,-,1,1,48.633301 21.166599
Košice,Ťahanovce,obecný,"9 domáci
1 neznámy
",-,-,10,10,48.75 21.25
Košice,Veľká Ida,katolícky obecný,"4 čs.
1 neznámy
","viacerí ranení v Ide
","1919
",3,1,48.608631 21.1477
Košice,Všechsvätých,obecný,"domáci
",-,-,1,1,48.638695 21.30424
Košice,Vyšný Čaj,obecný,"domáci
",-,-,1,1,48.686039 21.395185
Košice,Vyšnia Huta,obecný,"domáci
",-,-,2,2,48.49409 19.27916
Košice,Vyšnia Myšľa,obecný,"domáci
",-,-,1,1,49.43092 21.3484
Košice,Vyšnie Opatské,obecný,"domáci
",-,-,3,3,48.21266 19.1806
Košice,Vyšný Tejkeš,katolícky,"3 domáci
1 neznámy
","zabitý ruskými zajat.
","1915
",4,4,48.68437 21.39738
Košice,Ždaňa,obecný,"domáci
",-,-,2,2,48.600414 21.360356
Krupina,Devičie,evanjelický,"Rusi
",-,-,1,1,48.314187 19.026571
Krupina,Šahy,obecný,"rus.
",-,-,8,1,48.069456 18.949338
Kráľovský Chlmec,Biel,katolícky,"3 čs.
2 juh.
2 neznámi
","zahynuli pri zrážke vlakov
",-,7,7,48.404766 22.056999
Kráľovský Chlmec,Borša,spoločný obecný,"1 slov.
2 maď.
","zastrelený v Borši
","1919
",3,3,48.39466 21.701704
Kráľovský Chlmec,Boťany,obecný,"neznámi
","1 zastrelený pri úteku
z tábora
",-,4,4,48.452805 22.103298
Kráľovský Chlmec,Kráľovský Chlmec,katolícky obecný,"5 rus.
1 maď.
2 čes.
",-,-,8,8,48.422362 21.980478
Kráľovský Chlmec,Kráľovský Chlmec,evanjelický,"maď.
",-,-,1,1,48.422362 21.980478
Kráľovský Chlmec,Kráľovský Chlmec,židovský,"neznámi
",-,-,2,2,48.422362 21.980478
Kráľovský Chlmec,Ladmovce,obecný,"2 domáci
2 neznámi
","padli poblíž obce
","1919
",4,4,48.41467 21.769679
Kráľovský Chlmec,Leles,obecný,"rus.
",-,-,1,1,48.475278 22.043874
Kráľovský Chlmec,Polany,gréckokatolícky obecný,"1 slov.
1 rus.
1 rak.
",-,-,3,3,48.477963 21.988985
Kráľovský Chlmec,Somotor,evanjelický,"2 čs.
1 neznámi
","zastrelení pri bojoch
pri obci
","1919
",1,1,48.406729 21.82127
Kráľovský Chlmec,Streda nad Bodrogom,katolícky obecný,"čes.
","padol v boji s boľševikmi
","1919
",1,1,48.368091 21.757509
Kremnica,Jánova Lehota,katolícky obecný,"domáci
",-,-,9,9,48.666329 18.766743
Kremnica,Kopernica,katolícky obecný,"domáci
",-,-,1,1,48.680969 18.865081
Kremnica,Kremnica,katolícky obecný,"2 čs.
1 poľ.
2 juh.
","zoznam 22 voj. pochovaných na mestskom cintoríne
v Kremnici
skica s vyznačenými hrobmi
",-,5,5,48.706577 18.916597
Kremnica,Kremnica,nový mestský,"1 slov.
2 neznámi
",-,-,2,2,48.706577 18.916597
Kremnica,Kremnica,evanjelický,"8 čs.
1 poľ.
2 juh.
2 neznámi
",-,-,13,13,48.706577 18.916597
Kremnica,Kremnica,-,"domáci
",-,-,1,1,48.706577 18.916597
Kremnica,Kremnica,starý evanjelický,"domáci
",-,-,2,2,48.706577 18.916597
Kremnica,Slaská,katolícky obecný,"domáci
",-,-,1,1,48.686268 18.827798
Kremnica,Stará Kremnička,obecný,"domáci
",-,-,2,2,48.61789 18.88917
Kremnica,Sv. Kríž nad Hronom,obecný,"domáci
",-,-,2,2,47.83162 18.72381
Kremnica,Sv. Kríž nad Hronom,židovský,"domáci
",-,-,1,1,47.83162 18.72381
Kremnica,Trnavá Hora,obecný,"čes.
","zastrelený maď. voj.
","1918
",1,1,48.594437 18.963496
Krupina,Bzovík,katolícky,"domáci
čes.
",-,-,2,2,48.317667 19.078523
Krupina,Cerovo,evanjelický,"domáci
",-,-,-,-,48.25386 19.175161
Krupina,Devičie,evanjelický obecný,"1 slov.
1 rus.
","zastrelený pri obci
","1919
",2,2,48.314187 19.026571
Krupina,Dolný Badín,katolícky,"domáci
",-,-,3,3,48.262846 19.055989
Krupina,Dolné Rykynčice,obecný,"slov.
",-,-,1,1,48.44471 17.398579
Krupina,Horný Badín,katolícky obecný,"domáci
",-,-,5,5,48.284234 19.079469
Krupina,Horný Dačov Lom,evanjelický obecný,"4 čs.
5 nezn.
",-,-,4,1,48.46995 17.871529
Krupina,Hor. Mladonice,katolícky obecný,"domáci
",-,-,1,1,48.34384 19.15098
Krupina,Krupina,obecný,"4 čs.
1 maď.
","3 zranení v boji
s maď. boľševikmi
",-,5,9,48.354167 19.066944
Krupina,Litava,obecný,"domáci
",-,-,3,3,48.289238 19.179224
Krupina,Medovarce,evanjelický obecný,"domáci
",-,-,1,1,48.235784 18.997225
Krupina,Nemce,obecný,"1 čs.
1 maď.
","zastrelený v bitke pri
Nemciach
","1916
",2,2,48.77634 19.166543
Krupina,Senohrad,obecný,"domáci
",-,-,7,7,48.363507 19.202835
Krupina,Sucháň,evanjelický obecný,"1 čes.
","padol v bojoch pri
obci
","1919
",1,1,48.303864 19.219764
Krupina,Uňatín,katolícky obecný,"domáci
",-,-,4,4,48.276957 19.041745
Krupina,Zemiansky Vrbovok,evanjelický obecný,"domáci
",-,-,4,4,48.319589 19.147377
Krupina,Dolnie Semerovce,obecný,"maď.
",-,-,1,1,48.20063 19.30619
Krupina,Hornie Turovce,obecný,"domáci
",-,-,2,2,48.27091 19.36149
Krupina,Hrkovce,obecný,"1 domáci
1 juh.
",-,-,-,-,48.087687 18.904694
Krupina,Chorvatice,-,"rus.
",-,-,1,1,48.221662 17.249433
Krupina,Inám,obecný,"domáci
čes.
neznámy
","padli v bojoch pri obci
","1919
1919
",3,3,48.093756 19.159874
Krupina,Nekyje,katolícky obecný,"rus.
","elektrickým prúdom
",-,2,2,49.130422 18.356715
Krupina,Plášťovce,katolícky obecný,"domáci
","4 zastrelení ako boľševický vojaci
",-,5,5,48.161962 18.992261
Krupina,Preseľany,obecný,"domáci
",-,-,5,5,48.450855 18.089223
Krupina,Sazdice,katolícky,"domáci
",-,-,1,1,48.08396 18.795136
Krupina,Strednie Turovce,katolícky obecný,"domáci
čes.
","usmrtení
ruč.granátom z neopatrnosti
","1919
",2,2,49.05885 19.45597
Krupina,Šahy,obecný,"36 čs.
6 tal.
3 maď.
1 poľ.
2 rum.
8 rus.
30 juh.
18 neznámy
","veľa zomrelo
v bojoch pri Šahách
",-,107,107,48.069456 18.949338
Krupina,Tešmák,obecný,"4 domáci
1 neznámy
",-,-,5,5,48.407758 19.637345
Krupina,Vyškovce,katolícky obecný,"5 čs.
2 neznámi
","padli pri Ipeľskom Vršku
","1918
",7,7,49.253754 21.665608
Levice,Bátovce,obecný,"rus.
",-,-,1,1,48.287473 18.779916
Levice,Bohunice,katolícky obecný,"maď.
","padol v boji o obec
","1919
",1,1,49.026354 18.187175
Levice,Dolné Brhlovce,evanjelický,"1 čs.
1 neznámy
","padli v boji
","1919
",2,2,48.901748 18.290941
Levice,Domadice,katolícky obecný,"domáci
",-,-,1,1,48.187608 18.781492
Levice,Horný Prandorf,evanjelický,"3 dom.
1 juh.
5 neznámi
","padli v boji o obec
","5/1919
",4,1,49.14653 18.41245
Levice,Horné Žemberovce,obecný,"3 neznámi
",-,"1919
",1,35,48.337198 17.558884
Levice,Horné Žemberovce,evanjelický,"rus.
",-,-,1,1,48.337198 17.558884
Levice,Hronské Kosihy,katolícky obecný,"2 čes.
2 neznámi
","padli v boji o obec padli v boji o obec
",-,2,2,48.266413 18.588056
Levice,Kľačany,katolícky obecný,"2 domáci
1 čes.
3 neznámi
","padli v bojoch v obci s boľševikmi
","1919
",2,2,48.388669 17.87022
Levice,Podlužany,katolícky obecný,"2 neznámi
","padli v bojoch s boľševikmi
","1919
",1,2,48.776004 18.245925
Levice,Pukanec,obecný,"domáci
",-,-,4,4,48.364416 18.7202
Levice,Rybník,katolícky obecný,"2 domáci
27 neznámi
","padli v bojoch pri obci
","1919
",4,30,48.542054 20.10599
Levice,Starý Tekov,-,"čes.
","pri bojoch
","1919
",1,1,48.24434 18.543216
Levice,Svätý Kríž,katolícky,"neznámi
","padli v boji pri osade
Kríž pri obci Hr. nová Ves
","1919
",1,3,49.043439 19.532177
Levice,Svätý Kríž,-,"neznámy
","padol v boji pri osade
Dvor
","1918
",1,1,49.043439 19.532177
Levice,Svätý Kríž,-,"neznámi
","padli v bojoch s boľševikmi
","1919
",1,3,49.043439 19.532177
Levice,Tekovská Nová Ves,katolícky obecný,"1 domáci
4 neznámi
","padli v bojoch
","1919
",2,2,48.374281 18.641859
Levice,Tlmače,katolícky obecný,"3 neznámi
","padli v bojoch
","1919
",1,3,48.288778 18.531855
Levice,Uhliská,katolícky obecný,"slov.
",-,-,1,1,48.961813 22.424209
Levice,Veľké Krškany,obecný,"2 domáci
1 poľ.
",-,-,3,3,48.533348 18.40481
Levice,Bory,evanjelický,"domáci
",-,-,1,1,48.190655 18.750919
Levice,Čajkov,katolícky obecný,"2 domáci
6 neznámi
","padli v bojoch o obec
","1919
",2,1,48.315272 18.603327
Levice,Čankov,katolícky obecný,"domáci
",-,-,2,2,48.19357 18.70667
Levice,Horná Seč,reformovaný,"1 domáci
24 neznámi
","padli pri bojoch s maď
",-,1,25,48.203702 18.550711
Levice,Kálna,katolícky obecný,"5 maď.
","padli pri vpáde maď. boľševikov na Slovensko
",-,1,5,48.192911 18.509742
Levice,Kálna,reformovaný obecný,"1 domáci
1 maď.
","padli
","1919
",2,2,48.192911 18.509742
Levice,Kálna,židovský,"1 slov.
2 maď.
","padli
","1919
",3,3,48.192911 18.509742
Levice,Malé Kozmálovce,katolícky obecný,"1 slov.
1 maď.
","padli
","1919
",1,2,48.276935 18.502003
Levice,Levice,katolícky evanjelický,"5 čs.
7 neznámi
",-,"1919
",12,12,48.216389 18.608056
Levice,Levice,židovský,"3 domáci
3 poľ.
3 neznámi
",-,-,8,8,48.216389 18.608056
Levice,Levice,mestský vojenský,"35 čs.
1 tal.
18 maď.
35 poľ.
2 rak.
5 rum.
5 rus.
3 juh.
45 neznámi
","z toho min. 65 padlo v bojoch 6/1919
z ostatných mnoho v bojoch pri Leviciach 3.6./1915
",-,142,142,48.216389 18.608056
Levice,Levice,-,"neznámi
",-,"8/6/1919
",1,12,48.216389 18.608056
Levice,Mýtne Ludany,katolícky obecný,"2 poľ.
",-,-,2,2,48.162434 18.667074
Levoča,Levoča,rímskokatolícky,"51 juh.
",-,-,-,-,49.026111 20.588889
Levoča,Levoča,mestský,"63 rus.
",-,-,-,-,49.026111 20.588889
Levoča,Brutovce,obecný,"domáci
",-,-,1,1,49.090245 20.7904
Levoča,Dolina,obecný,"domáci
",-,-,2,2,48.635022 17.996395
Levoča,Domanovce,obecný,"čs.
",-,-,2,2,48.968786 20.649527
Levoča,Iliašovce,obecný,"domáci
",-,-,1,1,48.993924 20.523579
Levoča,Iliašovce,obecný,"domáci
",-,-,1,1,48.993924 20.523579
Levoča,Janovce,obecný,"domáci
",-,-,2,2,48.183435 17.529912
Levoča,Kolčov,obecný,"domáci
",-,-,1,1,48.57232 19.32968
Levoča,Levoča,mestský,"40 čs.
7 tal.
62 poľ.
11 rak.
7 rum.
63 rus.
51 juh.
1 tur.
213 neznámi
",-,-,1,1,49.026111 20.588889
Levoča,Levoča,židovský,"neznámi
",-,-,8,8,49.026111 20.588889
Levoča,Machalovce,obecný,"domáci
",-,-,1,1,48.779897 19.800485
Levoča,Nemešany,obecný,"domáci
",-,-,1,1,49.014995 20.679964
Levoča,Olšavica,obecný,"domáci
",-,-,1,1,49.08884 20.749134
Levoča,Spišské Podhradie,spoločný cirkevný,"domáci
",-,-,2,2,49.000035 20.751072
Levoča,Uloža,obecný,"domáci
",-,-,2,2,49.03945 20.640819
Liptovský Mikuláš,Bobrovec,obecný,"domáci
",-,-,1,1,49.164572 19.630412
Liptovský Mikuláš,Demänová,obecný,"domáci
",-,-,1,1,48.98868 19.590283
Liptovský Mikuláš,Hliník,obecný,"domáci
",-,-,1,1,48.536272 18.782036
Liptovský Mikuláš,Liptovský  Sv. Mikuláš,obecný,"slov.
",-,-,1,1,49.0518 19.53472
Liptovský Mikuláš,Hybe,obecný,"maď. cigán
neznámy
",-,-,2,2,49.072184 19.850868
Liptovský Mikuláš,Ižipovce,obecný,"domáci
",-,-,1,1,49.149215 19.48325
Liptovský Mikuláš,Jakubovany,obecný,"domáci
",-,-,1,1,49.120958 19.746978
Liptovský Mikuláš,Konská,spoločný obecný,"domáci
",-,-,1,1,49.110275 18.674481
Liptovský Mikuláš,Kráľova Lehota,obecný,"poľ.
","cholera v Kr. Lehote
",-,4,4,49.003778 19.806356
Liptovský Mikuláš,Kvačany,obecný,"2 domáci
1 neznámy
",-,-,3,3,49.184569 19.553328
Liptovský Mikuláš,Liptovský Hrádok,obecný,"2 čes.
1 poľ.
",-,-,3,3,49.037179 19.721733
Liptovský Mikuláš,Liptovský Sv. Ján,spoločný,"domáci
",-,-,3,3,49.0518 19.53472
Liptovský Mikuláš,Liptovský  Sv. Mikuláš,katolícky evanjelický,"8 čs.
1 tal.
2 maď.
1 rak.
1 rus.
7 rum.
1 juh.
4 neznámi
",-,-,18,18,49.0518 19.53472
Liptovský Mikuláš,Liptovský  Sv. Mikuláš,židovský,"4 čs.
1 rus.
1 neznámi
",-,-,6,6,49.0518 19.53472
Liptovský Mikuláš,Malé Borové,obecný,"domáci
",-,-,2,2,49.22638 19.541913
Liptovský Mikuláš,Nemecká Lupča,spoločný obecný,"neznámi
",-,-,2,2,48.66113 22.26376
Liptovský Mikuláš,Nižne Matiašovce,obecný,"domáci
",-,-,1,1,49.47036 18.7136
Liptovský Mikuláš,Paludzka,obecný,"7 čs.
5 poľ.
1 maď.
1 rum.
6 rus.
2 juh.
",-,-,22,22,49.08147 19.59627
Liptovský Mikuláš,Podtureň,evanjelický obecný,"domáci
",-,-,1,1,49.050197 19.701625
Liptovský Mikuláš,Porúbka,obecný,"domáci
",-,-,1,1,49.151592 18.728189
Liptovský Mikuláš,Sielnica,obecný,"domáci
",-,-,2,2,48.653424 19.079479
Liptovský Mikuláš,Svätý Kríž,obecný,"domáci
",-,-,1,1,49.043439 19.532177
Liptovský Mikuláš,Svätý Peter,obecný,"neznámy
",-,-,1,1,47.831078 18.21311
Liptovský Mikuláš,Štrba,obecný,"domáci
",-,-,2,2,49.090704 20.061035
Liptovský Mikuláš,Veľké Borové,obecný,"domáci
",-,-,4,4,49.196003 19.515265
